MovieID,Title,Genre,ReleaseYear,Director,Rating,DurationMinutes
1,The Last Horizon,Sci-Fi,2019,Ava Reynolds,7.8,124
2,Midnight Streets,Crime,2021,Jordan Blake,8.1,112
3,Love in Autumn,Romance,2018,Emily Carter,6.9,105
4,Iron Valley,Action,2022,Marcus Lee,7.5,131
5,Whispering Shadows,Horror,2020,Nina Alvarez,7.2,98
6,The Great Recipe,Comedy,2017,Oliver Chen,6.8,110
7,Echoes of Tomorrow,Drama,2023,Sophia Martin,8.4,138
8,Hidden Kingdom,Fantasy,2016,Lucas Grant,7.0,142
9,Final Countdown,Thriller,2021,Rachel Moore,7.6,119
10,Blue Ocean Dreams,Adventure,2015,Daniel Kim,6.7,127
